order_item_id,order_id,product_id,user_id,quantity,item_price,item_total
I00000162,O00000066,P000100,U003806,3,53.39,160.17
I00000163,O00000066,P000650,U003806,1,235.46,235.46
I00000164,O00000067,P001996,U001740,1,69.46,69.46
I00000165,O00000067,P000748,U001740,1,128.37,128.37
I00000166,O00000068,P000967,U005875,1,106.52,106.52
I00000167,O00000068,P000380,U005875,2,148.33,296.66
I00000168,O00000069,P001512,U007490,1,51.45,51.45
I00000169,O00000069,P001219,U007490,2,28.04,56.08
I00000170,O00000069,P001499,U007490,1,598.63,598.63
I00000171,O00000069,P000519,U007490,1,769.71,769.71
I00000172,O00000069,P002000,U007490,2,64.11,128.22
I00000173,O00000069,P000225,U007490,2,527.87,1055.74
I00000174,O00000070,P000887,U004383,2,670.63,1341.26
I00000175,O00000070,P001577,U004383,1,11.62,11.62
I00000176,O00000070,P000936,U004383,3,236.97,710.91
I00000177,O00000070,P001888,U004383,1,16.14,16.14
I00000178,O00000070,P000926,U004383,2,19.4,38.8
I00000179,O00000071,P000431,U008449,3,27.08,81.24
I00000180,O00000071,P001694,U008449,2,34.17,68.34
I00000181,O00000071,P001253,U008449,1,42.45,42.45
I00000182,O00000071,P001509,U008449,1,30.09,30.09
I00000183,O00000072,P001601,U007276,3,93.07,279.21
I00000184,O00000072,P001060,U007276,1,307.27,307.27
I00000185,O00000073,P001535,U000383,1,48.09,48.09
I00000186,O00000074,P001309,U001053,1,52.93,52.93
I00000187,O00000075,P000684,U003631,1,26.34,26.34
I00000188,O00000075,P000474,U003631,1,283.17,283.17
I00000189,O00000075,P000760,U003631,3,20.41,61.23
I00000190,O00000075,P000784,U003631,1,49.7,49.7
I00000191,O00000076,P000455,U006851,3,65.06,195.18
I00000192,O00000076,P001722,U006851,1,80.1,80.1
I00000193,O00000076,P000036,U006851,1,81.88,81.88
I00000194,O00000077,P001500,U005127,2,746.51,1493.02
I00000195,O00000077,P001467,U005127,1,342.98,342.98
I00000196,O00000078,P000262,U005863,1,186.4,186.4
I00000197,O00000079,P001966,U008184,1,77.21,77.21
I00000198,O00000079,P000238,U008184,3,168.05,504.15
I00000199,O00000079,P000854,U008184,1,685.59,685.59
I00000200,O00000080,P001870,U007964,1,383.26,383.26
