order_id,user_id,order_date,order_status,total_amount
O00000137,U001427,2024-01-14T15:42:32.407789,processing,192.38
O00000138,U006921,2024-02-19T08:03:47.923743,cancelled,2154.33
O00000139,U002993,2025-01-11T11:27:26.507808,cancelled,1245.6
O00000140,U008257,2024-10-01T22:36:05.189053,cancelled,122.6
O00000141,U009725,2025-08-23T20:54:22.804713,processing,515.89
O00000142,U006344,2024-10-26T11:57:46.017726,cancelled,781.14
O00000143,U000022,2024-09-26T05:12:38.790252,completed,1097.97
O00000144,U006302,2024-01-20T03:08:16.917912,shipped,71.52
O00000145,U009282,2024-01-23T13:20:49.368213,shipped,271.52
O00000146,U004487,2024-12-16T10:45:18.613487,processing,654.76
O00000147,U002779,2024-07-22T18:51:23.876499,shipped,1854.44
O00000148,U005318,2025-10-04T12:24:51.517612,returned,675.09
O00000149,U006981,2025-06-06T02:24:19.314449,completed,373.82
O00000150,U000668,2024-10-06T06:51:42.875460,cancelled,266.04
O00000151,U006960,2025-01-27T10:09:36.512884,processing,324.71
O00000152,U006228,2024-02-26T06:41:04.140492,returned,1129.34
O00000153,U007261,2025-11-12T10:19:18.301029,shipped,186.2
O00000154,U007064,2025-07-06T18:48:05.026992,returned,26.49
O00000155,U000476,2025-02-25T08:23:55.141299,completed,142.27
O00000156,U004571,2024-07-08T17:17:05.311796,returned,32.48
O00000157,U007924,2025-05-23T08:51:50.228831,returned,698.45
O00000158,U004476,2025-10-25T14:07:57.652615,shipped,404.45
O00000159,U004306,2024-04-29T17:41:32.861189,shipped,387.23
O00000160,U006265,2024-04-18T06:28:43.675708,shipped,105.34
O00000161,U001885,2025-01-14T02:24:04.527330,processing,351.66
O00000162,U003794,2025-10-16T06:33:38.458007,completed,4995.83
O00000163,U004111,2024-03-05T12:12:11.387921,shipped,443.54
O00000164,U006977,2025-02-19T00:05:44.804192,returned,415.45
O00000165,U004253,2025-05-20T10:23:25.924977,cancelled,1109.33
O00000166,U003599,2024-08-30T07:55:27.386072,completed,184.12
O00000167,U008017,2024-11-26T03:59:17.276753,cancelled,96.97
O00000168,U005863,2024-11-27T13:40:23.549677,returned,49.91
O00000169,U001205,2025-01-01T16:06:01.864817,cancelled,462.02
O00000170,U003435,2025-03-25T16:57:46.064286,returned,811.41
O00000171,U001678,2024-02-03T11:25:21.289237,returned,31.72
O00000172,U009680,2025-01-30T16:25:47.074161,cancelled,150.83
O00000173,U003834,2024-11-30T19:38:25.876851,returned,906.18
O00000174,U007238,2025-07-04T11:36:47.946142,cancelled,1043.9
O00000175,U002754,2024-03-12T12:29:05.206064,processing,694.46
O00000176,U009063,2024-01-23T00:47:25.781580,completed,566.87
O00000177,U002797,2024-01-18T21:25:02.047575,completed,675.6
O00000178,U006485,2025-02-14T21:03:52.685555,returned,215.91
O00000179,U000987,2025-06-06T18:53:08.016329,shipped,781.28
O00000180,U008002,2024-07-28T09:42:37.538184,returned,802.3
O00000181,U006833,2024-06-19T01:56:31.373731,completed,38.58
O00000182,U009225,2024-02-11T07:01:39.948315,processing,246.7
O00000183,U006690,2024-09-18T06:38:11.099963,cancelled,372.58
O00000184,U001541,2024-02-19T16:26:39.497201,shipped,125.02
O00000185,U004717,2025-02-22T14:49:09.887674,cancelled,394.93
O00000186,U004708,2025-09-14T07:45:42.311675,completed,29.41
O00000187,U005772,2024-11-02T16:50:08.643813,processing,534.92
O00000188,U005931,2024-10-31T21:12:12.666763,returned,52.77
O00000189,U001604,2025-01-14T13:17:03.543675,processing,1184.86
O00000190,U007885,2024-04-28T11:06:24.820649,completed,333.28
O00000191,U003178,2024-03-07T15:48:49.209247,cancelled,1345.24
O00000192,U009179,2024-07-15T20:29:49.490699,shipped,173.94
O00000193,U006708,2024-11-25T02:18:55.690334,processing,1248.13
O00000194,U006411,2025-08-02T13:02:52.165999,returned,26.54
O00000195,U001418,2024-06-11T01:39:22.570775,shipped,567.18
O00000196,U008992,2025-04-27T10:05:33.806571,returned,35.46
O00000197,U002348,2024-09-26T19:01:30.040816,shipped,26.54
O00000198,U005404,2025-07-07T17:14:24.313252,cancelled,409.49
O00000199,U004163,2024-03-01T05:40:35.821381,processing,897.79
O00000200,U007622,2025-04-09T04:47:34.122239,returned,26.74
