event_id,user_id,product_id,event_type,event_timestamp
E00000090,U005069,P001761,cart,2024-07-11T00:00:09.443399
E00000091,U003881,P001988,cart,2025-04-15T06:00:31.970150
E00000092,U009594,P000970,view,2024-08-20T02:35:17.187278
E00000093,U001468,P000626,view,2025-06-11T23:44:50.380776
E00000094,U002509,P001875,cart,2024-01-05T02:17:32.746231
E00000095,U004060,P001756,view,2025-04-02T04:30:09.636240
E00000096,U004272,P000243,view,2025-02-26T16:42:26.025413
E00000097,U001441,P001157,view,2025-01-25T08:13:04.386329
E00000098,U007275,P001544,view,2024-07-26T21:33:46.274100
E00000099,U004803,P000686,view,2025-08-05T10:22:14.719167
E00000100,U006186,P000712,view,2025-06-24T07:16:58.180756
E00000101,U003609,P000098,view,2024-10-12T13:33:54.703960
E00000102,U002547,P000492,wishlist,2025-10-18T04:45:06.860545
E00000103,U004639,P001677,wishlist,2024-08-22T18:23:14.051089
E00000104,U000503,P000846,purchase,2024-04-17T12:03:16.607590
E00000105,U006233,P000101,view,2024-07-08T01:05:01.897360
E00000106,U005536,P001127,wishlist,2025-11-01T23:54:36.058827
E00000107,U007016,P000815,view,2025-10-21T06:49:58.346405
E00000108,U009427,P001988,view,2024-06-16T18:30:41.253830
E00000109,U005767,P001193,view,2024-09-12T17:44:34.247794
E00000110,U006449,P001303,view,2024-05-12T14:33:39.555578
E00000111,U009842,P001310,view,2024-05-18T06:30:29.628227
E00000112,U007120,P000659,purchase,2024-10-28T08:44:16.234695
E00000113,U001251,P001809,view,2024-10-17T15:17:08.735314
E00000114,U002977,P001219,view,2025-08-18T22:06:31.487635
E00000115,U001062,P000663,view,2024-04-02T19:14:39.369405
E00000116,U009631,P000239,view,2025-09-11T20:36:22.937275
E00000117,U005683,P001655,view,2024-06-04T01:35:07.619475
E00000118,U003954,P000709,cart,2025-06-28T04:25:55.253738
E00000119,U000343,P001812,view,2025-05-04T13:38:46.300354
E00000120,U008417,P000813,cart,2025-04-19T17:40:03.094165
E00000121,U007076,P000594,view,2025-05-29T23:50:42.906891
E00000122,U009151,P001876,view,2025-04-07T12:50:33.286200
E00000123,U005208,P000306,view,2025-08-17T03:15:53.423241
E00000124,U004011,P001023,view,2024-06-05T06:21:26.432561
E00000125,U001947,P000096,view,2025-05-27T13:21:21.851887
E00000126,U005621,P000008,view,2024-03-19T02:16:32.903302
E00000127,U000878,P000129,view,2024-05-07T00:49:13.935949
E00000128,U007828,P000146,cart,2025-10-06T14:21:15.285931
E00000129,U005290,P000095,view,2024-05-10T05:47:27.613919
E00000130,U003335,P000165,purchase,2025-03-20T01:21:37.464451
E00000131,U006217,P000822,view,2025-02-05T06:01:36.359462
E00000132,U005529,P000881,view,2025-03-02T09:15:53.317884
E00000133,U001404,P001028,view,2024-09-04T15:56:00.921891
E00000134,U009601,P000548,view,2025-10-24T10:16:24.679873
E00000135,U006837,P000342,cart,2024-11-09T09:59:20.620347
E00000136,U004123,P000450,wishlist,2025-06-27T04:59:16.181781
E00000137,U001612,P001092,view,2024-06-23T20:43:04.176453
E00000138,U002824,P000681,wishlist,2025-01-03T20:50:07.772862
E00000139,U001164,P000607,view,2025-05-28T21:53:17.198938
E00000140,U007274,P001707,purchase,2025-06-24T17:00:16.070760
E00000141,U009503,P000828,view,2024-06-04T21:53:26.171057
E00000142,U005907,P001755,cart,2025-04-17T01:58:20.433368
E00000143,U000068,P001554,wishlist,2025-07-23T22:01:12.598475
E00000144,U008703,P001842,view,2024-01-24T15:43:06.409103
E00000145,U002358,P000741,view,2025-02-19T13:59:36.175874
E00000146,U000540,P000644,view,2025-07-08T08:10:46.188807
E00000147,U007219,P000355,view,2024-05-07T14:33:18.969222
E00000148,U005704,P000186,view,2024-06-02T09:10:14.698188
E00000149,U006213,P000002,view,2025-02-28T22:42:33.729104
E00000150,U009361,P000733,view,2025-08-05T04:10:13.974204
E00000151,U005411,P001996,cart,2024-07-23T09:13:08.006150
E00000152,U008571,P000559,view,2025-02-21T15:02:43.875275
E00000153,U008468,P001433,cart,2025-10-06T18:18:16.702180
E00000154,U001006,P001040,view,2025-06-28T22:48:06.809722
E00000155,U006222,P000555,view,2024-10-13T10:43:25.172530
E00000156,U009751,P001033,view,2025-03-17T16:04:13.752846
E00000157,U003014,P000641,view,2024-02-13T13:16:03.614781
E00000158,U009419,P000184,view,2025-09-09T00:09:27.163243
E00000159,U001365,P000101,view,2025-06-02T18:50:05.103002
E00000160,U006908,P001330,view,2024-05-15T19:44:17.907760
E00000161,U000950,P000745,wishlist,2024-01-26T19:54:51.074586
E00000162,U001546,P001860,view,2024-04-08T19:58:42.485543
E00000163,U000541,P001757,purchase,2025-04-10T10:06:50.751385
E00000164,U004360,P001181,cart,2024-01-13T12:13:38.717129
E00000165,U003042,P001007,cart,2025-10-16T14:21:43.864027
E00000166,U005714,P000844,view,2024-01-26T19:51:22.555778
E00000167,U001689,P001109,wishlist,2025-08-03T13:11:11.942716
E00000168,U004663,P000099,cart,2025-08-06T00:22:32.766328
E00000169,U001895,P001218,cart,2024-11-19T16:08:36.448049
E00000170,U008851,P001076,purchase,2024-07-28T19:36:47.085294
E00000171,U003712,P001389,view,2024-11-13T12:28:36.343785
E00000172,U005226,P000170,view,2025-04-02T21:55:33.529172
E00000173,U003647,P000668,view,2024-03-02T11:20:20.488581
E00000174,U002487,P001379,view,2025-05-21T14:40:07.950892
E00000175,U000345,P001860,view,2024-07-04T04:13:21.680739
E00000176,U004549,P000320,view,2025-08-24T15:09:36.054535
E00000177,U006309,P001969,view,2024-08-18T12:36:47.239441
E00000178,U008943,P001778,view,2024-09-11T21:04:13.748744
E00000179,U001439,P000590,wishlist,2024-12-04T08:15:03.636082
E00000180,U009853,P001334,cart,2024-11-30T22:54:21.785422
E00000181,U008360,P001250,view,2024-08-11T20:12:10.696659
E00000182,U009044,P000829,view,2025-04-18T19:53:44.592514
E00000183,U004915,P001508,view,2025-06-02T22:21:28.779188
E00000184,U001364,P001477,view,2025-06-26T19:26:09.602625
E00000185,U002665,P001581,cart,2025-03-26T08:10:44.883330
E00000186,U004691,P001647,cart,2025-04-02T09:10:49.854062
E00000187,U002050,P000038,view,2024-02-25T07:47:27.883204
E00000188,U004735,P000715,view,2024-07-17T11:47:40.918417
E00000189,U005831,P001468,view,2024-02-29T14:58:22.624002
E00000190,U004439,P001582,view,2024-05-22T09:35:11.786572
E00000191,U004508,P001811,view,2024-05-03T03:32:02.175790
E00000192,U002120,P000675,view,2025-09-16T22:17:02.926390
E00000193,U007317,P000282,view,2025-05-08T07:33:54.304285
E00000194,U007562,P000160,view,2025-04-17T14:35:54.617162
E00000195,U005249,P001649,view,2024-03-07T16:05:02.600833
E00000196,U009981,P000705,view,2025-09-28T12:50:43.703917
E00000197,U002631,P000134,view,2024-05-23T16:12:51.568706
E00000198,U002535,P001026,view,2025-02-24T07:10:11.863341
E00000199,U007240,P000485,view,2024-08-03T20:13:56.060575
E00000200,U005328,P000037,wishlist,2025-03-13T12:08:13.463932
