review_id,order_id,product_id,user_id,rating,review_text,review_date
R00004415,O00002013,P000274,U006339,3,Customer service was helpful.,2024-10-10T23:41:55.939174
R00015117,O00006967,P001726,U008527,3,"Not as expected, quality is poor.",2024-01-19T14:21:10.683936
R00039547,O00018133,P001465,U009969,1,Highly recommend this brand.,2024-01-09T17:08:00.489037
R00026689,O00012283,P001493,U008612,3,Customer service was helpful.,2024-07-26T10:05:08.081317
R00038070,O00017459,P001353,U007897,5,Item arrived damaged.,2025-07-12T11:15:09.233745
R00026305,O00012119,P001936,U008113,3,Color was different from images.,2025-01-08T21:34:52.729172
R00013316,O00006126,P000076,U007902,4,"Not as expected, quality is poor.",2025-11-07T19:16:25.139196
R00027487,O00012642,P001116,U001152,5,Customer service was helpful.,2025-05-13T03:52:58.407000
R00039803,O00018255,P001564,U004501,3,"Excellent product, will buy again.",2025-09-12T13:02:27.849186
R00043417,O00019957,P000386,U003704,2,Color was different from images.,2024-08-26T17:51:45.765739
R00008346,O00003818,P001919,U006497,4,Customer service was helpful.,2025-01-04T02:49:20.874199
R00017225,O00007955,P001553,U008510,2,Value for money.,2025-09-22T06:58:20.371926
R00037826,O00017351,P001022,U004468,5,Fast shipping and good packaging.,2025-09-10T20:56:13.156732
R00037320,O00017127,P000557,U009238,3,Customer service was helpful.,2025-03-07T04:29:52.556686
R00031336,O00014389,P001850,U009942,4,Works perfectly!,2024-02-28T14:28:49.961135
R00018475,O00008531,P000203,U008712,3,"Not as expected, quality is poor.",2024-04-15T10:23:18.642021
R00031009,O00014244,P000202,U006225,4,"Excellent product, will buy again.",2024-04-05T18:14:03.145328
R00008447,O00003864,P001822,U004324,3,Decent product for the price.,2025-07-22T23:02:07.979516
R00010345,O00004759,P001075,U003165,5,Fast shipping and good packaging.,2024-11-03T11:00:23.426172
R00029295,O00013467,P001276,U006859,2,Value for money.,2024-06-13T02:35:27.189981
R00018598,O00008592,P000594,U001571,4,Highly recommend this brand.,2024-09-25T08:50:24.557337
R00033113,O00015213,P001511,U008709,3,Decent product for the price.,2024-04-01T21:03:37.249861
R00037990,O00017425,P001473,U006985,4,Color was different from images.,2025-02-05T09:38:55.927105
R00021670,O00010004,P001684,U000763,5,Color was different from images.,2024-11-11T08:23:24.330035
R00029533,O00013573,P000758,U009007,5,Decent product for the price.,2025-07-10T06:42:20.164775
R00041687,O00019125,P001817,U005096,5,Color was different from images.,2025-10-01T15:35:38.881542
R00028308,O00013017,P001868,U003694,3,Decent product for the price.,2025-04-25T10:48:15.885622
R00017169,O00007929,P001315,U002039,5,Customer service was helpful.,2025-07-10T18:58:08.811014
R00007179,O00003257,P000161,U006365,4,Customer service was helpful.,2025-07-30T03:24:44.440920
R00042427,O00019484,P001773,U009903,3,Decent product for the price.,2024-03-23T00:35:03.058862
R00026462,O00012194,P001700,U005062,2,Item arrived damaged.,2025-02-19T12:23:08.801280
R00004910,O00002237,P000767,U009510,4,Value for money.,2025-10-05T18:11:12.846662
R00008786,O00004021,P000909,U003178,2,"Excellent product, will buy again.",2025-05-16T23:50:33.166665
R00001513,O00000682,P000934,U004291,5,"Excellent product, will buy again.",2025-05-30T17:30:04.847579
R00028892,O00013290,P001791,U000280,5,Fast shipping and good packaging.,2024-05-02T10:59:19.610309
R00001745,O00000794,P000986,U002451,4,Value for money.,2024-05-07T19:53:57.152083
R00041701,O00019133,P001086,U007312,4,Color was different from images.,2025-01-30T00:02:19.459960
R00031766,O00014586,P001844,U000487,4,Works perfectly!,2024-02-23T21:43:25.710134
R00034848,O00015997,P001992,U004906,5,"Excellent product, will buy again.",2025-02-16T12:00:31.569016
R00022242,O00010276,P001612,U006670,2,Fast shipping and good packaging.,2025-05-29T00:06:21.022859
R00006849,O00003101,P000575,U003565,2,"Excellent product, will buy again.",2024-04-14T07:48:05.689367
R00020923,O00009674,P000453,U006699,2,Works perfectly!,2024-03-13T21:17:34.601835
R00002097,O00000967,P001431,U001488,5,Value for money.,2024-02-29T06:49:14.944482
R00026921,O00012380,P001835,U003289,3,Item arrived damaged.,2025-04-13T18:49:00.150157
R00036887,O00016926,P001083,U008550,5,"Not as expected, quality is poor.",2024-05-02T06:28:40.313093
R00027073,O00012450,P001874,U003749,4,"Not as expected, quality is poor.",2025-03-09T13:37:39.058437
R00030070,O00013819,P001839,U001762,2,Item arrived damaged.,2024-12-27T01:35:29.715213
R00017206,O00007947,P001879,U007305,5,Value for money.,2024-03-15T19:57:03.984411
R00006192,O00002801,P000735,U000684,5,"Excellent product, will buy again.",2024-07-09T07:26:45.836942
R00003808,O00001723,P000057,U000019,3,Highly recommend this brand.,2024-06-13T06:41:25.564392
R00034002,O00015608,P000615,U004817,4,Color was different from images.,2025-06-30T08:43:57.269485
R00026736,O00012305,P000281,U006274,2,Works perfectly!,2024-07-20T22:44:42.549742
R00030517,O00014020,P000444,U007269,5,"Not as expected, quality is poor.",2024-05-29T05:38:18.504769
R00030129,O00013843,P001349,U008892,3,Fast shipping and good packaging.,2024-06-03T10:10:41.115123
R00002814,O00001292,P000260,U003672,3,Fast shipping and good packaging.,2024-04-23T22:43:40.365020
R00001424,O00000639,P000668,U008489,4,Works perfectly!,2025-02-21T18:16:44.576972
R00028221,O00012980,P000265,U000564,3,Value for money.,2025-03-11T23:31:57.408062
R00025177,O00011621,P000681,U005571,3,Customer service was helpful.,2024-05-29T21:02:37.140853
R00005923,O00002686,P000547,U009218,4,Item arrived damaged.,2024-09-07T09:44:18.888144
R00009960,O00004568,P001892,U006627,3,Customer service was helpful.,2024-07-18T23:28:11.654673
R00038052,O00017451,P000610,U008835,5,Works perfectly!,2025-08-29T08:28:30.686548
R00029572,O00013592,P000565,U008725,4,Highly recommend this brand.,2024-10-06T07:05:19.324121
R00028425,O00013073,P000560,U002904,4,Color was different from images.,2025-01-25T14:53:14.965945
R00042210,O00019380,P001217,U003670,3,"Excellent product, will buy again.",2024-07-02T00:01:15.965881
R00032591,O00014961,P000986,U004488,5,Fast shipping and good packaging.,2025-04-29T02:52:21.056563
R00023978,O00011062,P000089,U009761,4,Customer service was helpful.,2024-10-24T19:04:35.712701
R00033317,O00015299,P000496,U009183,3,Color was different from images.,2024-07-15T05:38:37.983968
R00012856,O00005907,P001066,U007676,5,"Not as expected, quality is poor.",2024-07-03T19:48:47.164738
R00015322,O00007059,P000590,U008904,5,"Excellent product, will buy again.",2025-08-04T19:48:32.011307
R00023869,O00011017,P000004,U001871,5,Decent product for the price.,2025-10-22T11:24:20.046787
R00042346,O00019442,P000609,U003909,4,Item arrived damaged.,2025-07-24T19:34:49.022814
R00041646,O00019108,P000891,U003089,4,Customer service was helpful.,2025-06-15T21:11:51.301213
R00018490,O00008538,P001217,U004531,3,Value for money.,2025-06-30T04:56:50.501262
R00029072,O00013374,P000251,U003006,3,Customer service was helpful.,2025-03-19T23:59:09.769212
R00027700,O00012739,P000183,U003583,5,Highly recommend this brand.,2024-10-29T06:49:50.449414
R00011782,O00005423,P000509,U005590,5,"Excellent product, will buy again.",2024-10-26T11:47:11.356969
R00014581,O00006717,P000568,U003854,4,Item arrived damaged.,2024-04-30T21:32:02.247424
R00009568,O00004407,P000164,U009165,3,Works perfectly!,2024-04-07T11:01:42.621040
R00029022,O00013353,P000599,U005902,3,Fast shipping and good packaging.,2024-03-17T09:39:37.638539
R00042815,O00019677,P001720,U000106,3,Decent product for the price.,2024-03-26T14:10:01.640489
R00033026,O00015166,P001254,U009027,2,Color was different from images.,2025-10-21T19:55:36.293320
R00001764,O00000802,P000002,U005827,4,Decent product for the price.,2025-04-05T20:10:48.233061
R00035211,O00016172,P001673,U008447,4,Highly recommend this brand.,2025-02-23T03:03:37.319829
R00031386,O00014411,P001371,U009866,3,Color was different from images.,2024-07-26T03:41:29.144311
R00011246,O00005178,P001012,U007204,3,"Not as expected, quality is poor.",2024-11-08T23:13:04.709554
R00038213,O00017523,P000885,U001761,3,Value for money.,2024-02-26T00:14:46.400675
R00009263,O00004253,P000165,U009954,5,Customer service was helpful.,2024-10-16T22:52:28.848546
R00027798,O00012786,P001907,U004483,4,Highly recommend this brand.,2025-02-28T08:00:47.665812
R00013920,O00006404,P000025,U002788,5,Color was different from images.,2024-10-30T06:58:54.493346
R00040025,O00018356,P000467,U009645,3,Highly recommend this brand.,2025-07-12T06:04:26.310185
R00016275,O00007518,P000780,U001071,3,Color was different from images.,2025-07-19T05:02:31.232056
R00004748,O00002158,P000789,U000528,4,Value for money.,2024-02-22T13:21:15.585719
R00015324,O00007060,P000172,U000078,4,"Not as expected, quality is poor.",2024-09-21T14:09:18.453402
R00031049,O00014262,P001965,U007887,5,Fast shipping and good packaging.,2024-07-06T03:57:24.407259
R00030573,O00014045,P000141,U004172,1,Works perfectly!,2025-05-01T19:25:30.230151
R00013094,O00006014,P001488,U009557,2,Item arrived damaged.,2024-01-25T16:25:07.073495
R00024593,O00011350,P001542,U009554,3,Works perfectly!,2024-10-26T16:56:31.916882
R00016898,O00007802,P001082,U001541,2,Color was different from images.,2025-09-15T16:24:32.589498
R00026761,O00012317,P000274,U008741,2,"Not as expected, quality is poor.",2025-03-19T01:47:36.555666
R00022161,O00010239,P000384,U001676,5,Item arrived damaged.,2024-12-09T03:25:17.893829
R00004041,O00001843,P000391,U009902,3,Fast shipping and good packaging.,2024-09-01T12:11:12.175316
R00008245,O00003769,P001882,U004428,1,"Not as expected, quality is poor.",2025-02-23T00:49:48.695695
R00010924,O00005025,P000459,U008791,4,Works perfectly!,2024-03-09T12:58:11.358669
R00042500,O00019522,P001461,U005717,2,Fast shipping and good packaging.,2025-05-14T04:49:41.351434
R00024783,O00011433,P000527,U009716,3,Decent product for the price.,2025-03-21T20:48:18.007868
R00032085,O00014733,P001524,U007910,4,Fast shipping and good packaging.,2024-04-07T07:01:16.181305
R00020197,O00009330,P001958,U007748,4,Item arrived damaged.,2024-05-06T20:19:23.096651
R00024849,O00011463,P000026,U008222,4,Decent product for the price.,2025-04-08T16:01:52.366945
R00007216,O00003279,P000787,U000010,3,Customer service was helpful.,2024-05-28T17:31:48.230436
R00034192,O00015696,P001900,U005445,3,Customer service was helpful.,2025-07-29T13:15:59.696892
R00039566,O00018142,P000239,U003112,2,Works perfectly!,2025-07-26T11:01:32.725091
R00011470,O00005280,P001501,U007771,5,Fast shipping and good packaging.,2024-12-31T08:23:01.216159
R00009070,O00004159,P000701,U002442,4,"Not as expected, quality is poor.",2025-05-05T15:39:42.668262
R00012544,O00005763,P000983,U008880,5,Value for money.,2025-06-27T16:01:07.917125
R00009587,O00004414,P001376,U004306,3,"Excellent product, will buy again.",2025-05-26T08:25:54.370818
R00005620,O00002559,P000761,U006853,5,"Excellent product, will buy again.",2024-10-03T04:43:13.961274
R00037076,O00017016,P000373,U000171,5,Decent product for the price.,2024-05-17T21:05:10.016172
R00014196,O00006534,P000762,U003827,4,Works perfectly!,2025-07-30T16:10:09.094416
R00037380,O00017159,P001565,U008562,5,Customer service was helpful.,2024-07-01T19:48:28.480154
R00034593,O00015881,P000990,U007953,3,"Excellent product, will buy again.",2024-09-30T13:29:43.344495
R00012289,O00005646,P001962,U001438,5,Item arrived damaged.,2024-09-19T16:21:30.329439
R00005203,O00002366,P001425,U001820,3,"Excellent product, will buy again.",2024-12-20T14:27:43.223800
R00017093,O00007896,P000091,U005226,4,"Excellent product, will buy again.",2024-04-19T09:50:36.014461
R00009864,O00004526,P000508,U008268,4,Value for money.,2024-10-26T03:43:13.920363
R00033323,O00015302,P001695,U007704,3,Item arrived damaged.,2025-01-24T01:24:57.707351
R00038788,O00017781,P001364,U009919,4,"Not as expected, quality is poor.",2025-06-08T20:14:54.713853
R00038523,O00017658,P000444,U001908,3,Highly recommend this brand.,2024-01-16T23:45:26.652204
R00041984,O00019263,P001498,U004134,1,"Excellent product, will buy again.",2024-07-29T16:53:19.378154
R00027550,O00012667,P000700,U008710,4,Fast shipping and good packaging.,2024-12-13T13:10:42.955147
R00038454,O00017626,P001533,U008801,2,Color was different from images.,2025-05-17T04:05:16.616569
R00005207,O00002367,P000723,U001833,4,Item arrived damaged.,2025-02-25T16:54:14.715302
R00006247,O00002826,P001149,U008424,5,Value for money.,2025-07-17T13:03:58.306396
R00005806,O00002633,P001203,U003768,3,Fast shipping and good packaging.,2025-10-25T22:35:39.989277
R00037309,O00017123,P000481,U009145,3,Highly recommend this brand.,2025-03-23T11:09:49.584988
